"","gene_names"
"200","ENSMUSG00000026341"
"201","ENSMUSG00000036086"
"202","ENSMUSG00000056211"
"203","ENSMUSG00000026353"
"204","ENSMUSG00000026356"
"205","ENSMUSG00000042581"
"206","ENSMUSG00000026401"
"207","ENSMUSG00000046404"
"208","ENSMUSG00000016526"
"209","ENSMUSG00000026427"
"210","ENSMUSG00000026434"
"211","ENSMUSG00000054387"
"212","ENSMUSG00000090553"
"213","ENSMUSG00000097014"
"214","ENSMUSG00000042305"
"215","ENSMUSG00000026457"
"216","ENSMUSG00000042229"
"217","ENSMUSG00000042207"
"218","ENSMUSG00000026429"
"219","ENSMUSG00000042793"
"220","ENSMUSG00000041926"
"221","ENSMUSG00000062580"
"222","ENSMUSG00000026404"
"223","ENSMUSG00000041483"
"224","ENSMUSG00000026361"
"225","ENSMUSG00000018196"
"226","ENSMUSG00000018189"
"227","ENSMUSG00000006005"
"228","ENSMUSG00000100954"
"229","ENSMUSG00000023150"
"230","ENSMUSG00000052748"
"231","ENSMUSG00000053286"
"232","ENSMUSG00000026484"
"233","ENSMUSG00000042708"
"234","ENSMUSG00000042699"
"235","ENSMUSG00000056708"
"236","ENSMUSG00000026470"
"237","ENSMUSG00000026469"
"238","ENSMUSG00000033701"
"239","ENSMUSG00000033684"
"240","ENSMUSG00000033671"
"241","ENSMUSG00000026466"
"242","ENSMUSG00000050565"
"243","ENSMUSG00000060985"
"244","ENSMUSG00000103705"
"245","ENSMUSG00000026601"
"246","ENSMUSG00000026594"
"247","ENSMUSG00000026592"
"248","ENSMUSG00000070565"
"249","ENSMUSG00000049881"
"250","ENSMUSG00000040782"
"251","ENSMUSG00000058267"
"252","ENSMUSG00000014226"
"253","ENSMUSG00000026721"
"254","ENSMUSG00000053332"
"255","ENSMUSG00000026708"
"256","ENSMUSG00000044835"
"257","ENSMUSG00000026701"
"258","ENSMUSG00000040297"
"259","ENSMUSG00000026698"
"260","ENSMUSG00000040265"
"261","ENSMUSG00000026696"
"262","ENSMUSG00000040225"
"263","ENSMUSG00000026585"
"264","ENSMUSG00000026584"
"265","ENSMUSG00000026581"
"266","ENSMUSG00000026578"
"267","ENSMUSG00000026577"
"268","ENSMUSG00000026575"
"269","ENSMUSG00000040843"
"270","ENSMUSG00000026571"
"271","ENSMUSG00000026568"
"272","ENSMUSG00000040629"
"273","ENSMUSG00000026563"
"274","ENSMUSG00000026558"
"275","ENSMUSG00000052428"
"276","ENSMUSG00000026687"
"277","ENSMUSG00000103463"
"278","ENSMUSG00000026683"
"279","ENSMUSG00000026670"
"280","ENSMUSG00000042800"
"281","ENSMUSG00000059498"
"282","ENSMUSG00000026649"
"283","ENSMUSG00000058076"
"284","ENSMUSG00000013593"
"285","ENSMUSG00000053483"
"286","ENSMUSG00000062963"
"287","ENSMUSG00000013973"
"288","ENSMUSG00000013997"
"289","ENSMUSG00000006412"
"290","ENSMUSG00000045259"
"291","ENSMUSG00000038179"
"292","ENSMUSG00000026553"
"293","ENSMUSG00000003464"
"294","ENSMUSG00000026554"
"295","ENSMUSG00000038026"
"296","ENSMUSG00000026546"
"297","ENSMUSG00000026544"
"298","ENSMUSG00000057335"
"299","ENSMUSG00000026504"
"300","ENSMUSG00000015961"
"301","ENSMUSG00000091476"
"302","ENSMUSG00000026502"
"303","ENSMUSG00000026500"
"304","ENSMUSG00000039630"
"305","ENSMUSG00000026495"
"306","ENSMUSG00000038936"
"307","ENSMUSG00000026491"
"308","ENSMUSG00000026496"
"309","ENSMUSG00000058729"
"310","ENSMUSG00000026499"
"311","ENSMUSG00000060743"
"312","ENSMUSG00000038806"
"313","ENSMUSG00000026520"
"314","ENSMUSG00000026516"
"315","ENSMUSG00000062169"
"316","ENSMUSG00000038733"
"317","ENSMUSG00000004880"
"318","ENSMUSG00000026511"
"319","ENSMUSG00000038633"
"320","ENSMUSG00000100147"
"321","ENSMUSG00000047539"
"322","ENSMUSG00000042901"
"323","ENSMUSG00000056050"
"324","ENSMUSG00000073481"
"325","ENSMUSG00000026618"
"326","ENSMUSG00000026617"
"327","ENSMUSG00000026615"
"328","ENSMUSG00000001305"
"329","ENSMUSG00000039224"
"330","ENSMUSG00000026611"
"331","ENSMUSG00000039210"
"332","ENSMUSG00000026605"
"333","ENSMUSG00000026603"
"334","ENSMUSG00000026634"
"335","ENSMUSG00000057072"
"336","ENSMUSG00000026632"
"337","ENSMUSG00000037474"
"338","ENSMUSG00000037461"
"339","ENSMUSG00000026623"
"340","ENSMUSG00000026622"
"341","ENSMUSG00000049353"
"342","ENSMUSG00000037395"
"343","ENSMUSG00000049950"
"344","ENSMUSG00000026650"
"345","ENSMUSG00000051396"
"346","ENSMUSG00000026655"
"347","ENSMUSG00000026672"
"348","ENSMUSG00000039128"
"349","ENSMUSG00000025816"
"350","ENSMUSG00000085818"
"351","ENSMUSG00000043241"
"352","ENSMUSG00000025782"
"353","ENSMUSG00000025781"
"354","ENSMUSG00000086748"
"355","ENSMUSG00000061186"
"356","ENSMUSG00000037197"
"357","ENSMUSG00000026767"
"358","ENSMUSG00000063275"
"359","ENSMUSG00000086657"
"360","ENSMUSG00000062651"
"361","ENSMUSG00000026743"
"362","ENSMUSG00000026740"
"363","ENSMUSG00000051154"
"364","ENSMUSG00000026739"
"365","ENSMUSG00000037683"
"366","ENSMUSG00000026679"
"367","ENSMUSG00000048550"
"368","ENSMUSG00000026775"
"369","ENSMUSG00000026774"
"370","ENSMUSG00000026771"
"371","ENSMUSG00000026974"
"372","ENSMUSG00000036850"
"373","ENSMUSG00000013465"
"374","ENSMUSG00000036752"
"375","ENSMUSG00000078201"
"376","ENSMUSG00000048707"
"377","ENSMUSG00000026966"
"378","ENSMUSG00000026965"
"379","ENSMUSG00000036646"
"380","ENSMUSG00000015083"
"381","ENSMUSG00000015095"
"382","ENSMUSG00000026942"
"383","ENSMUSG00000015092"
"384","ENSMUSG00000036504"
"385","ENSMUSG00000015087"
"386","ENSMUSG00000026933"
"387","ENSMUSG00000036352"
"388","ENSMUSG00000036327"
"389","ENSMUSG00000075467"
"390","ENSMUSG00000026927"
"391","ENSMUSG00000026926"
"392","ENSMUSG00000026925"
"393","ENSMUSG00000086714"
"394","ENSMUSG00000036186"
"395","ENSMUSG00000015776"
"396","ENSMUSG00000062647"
"397","ENSMUSG00000015790"
"398","ENSMUSG00000014873"
"399","ENSMUSG00000014867"
"400","ENSMUSG00000049897"
"401","ENSMUSG00000052406"
"402","ENSMUSG00000026918"
"403","ENSMUSG00000026917"
"404","ENSMUSG00000026821"
"405","ENSMUSG00000026809"
"406","ENSMUSG00000026807"
"407","ENSMUSG00000035666"
"408","ENSMUSG00000026803"
"409","ENSMUSG00000043535"
"410","ENSMUSG00000026799"
"411","ENSMUSG00000026798"
"412","ENSMUSG00000069020"
"413","ENSMUSG00000026790"
"414","ENSMUSG00000019715"
"415","ENSMUSG00000057738"
"416","ENSMUSG00000039715"
"417","ENSMUSG00000054766"
"418","ENSMUSG00000015335"
"419","ENSMUSG00000039660"
"420","ENSMUSG00000039648"
"421","ENSMUSG00000100747"
"422","ENSMUSG00000052533"
"423","ENSMUSG00000026853"
"424","ENSMUSG00000039515"
"425","ENSMUSG00000044320"
"426","ENSMUSG00000026857"
"427","ENSMUSG00000026848"
"428","ENSMUSG00000026851"
"429","ENSMUSG00000026854"
"430","ENSMUSG00000087269"
"431","ENSMUSG00000000194"
"432","ENSMUSG00000039356"
"433","ENSMUSG00000001855"
"434","ENSMUSG00000086216"
"435","ENSMUSG00000039254"
"436","ENSMUSG00000002550"
"437","ENSMUSG00000044627"
"438","ENSMUSG00000002546"
"439","ENSMUSG00000039205"
"440","ENSMUSG00000026810"
"441","ENSMUSG00000026817"
"442","ENSMUSG00000009555"
"443","ENSMUSG00000039021"
"444","ENSMUSG00000009563"
"445","ENSMUSG00000038987"
"446","ENSMUSG00000038900"
"447","ENSMUSG00000026791"
"448","ENSMUSG00000038860"
"449","ENSMUSG00000038831"
"450","ENSMUSG00000038696"
"451","ENSMUSG00000026867"
"452","ENSMUSG00000026864"
"453","ENSMUSG00000070953"
"454","ENSMUSG00000035949"
"455","ENSMUSG00000026869"
"456","ENSMUSG00000057110"
"457","ENSMUSG00000026878"
"458","ENSMUSG00000026880"
"459","ENSMUSG00000026895"
"460","ENSMUSG00000026894"
"461","ENSMUSG00000026887"
"462","ENSMUSG00000035437"
"463","ENSMUSG00000026915"
"464","ENSMUSG00000026750"
"465","ENSMUSG00000062997"
"466","ENSMUSG00000026755"
"467","ENSMUSG00000026754"
"468","ENSMUSG00000035236"
"469","ENSMUSG00000026753"
"470","ENSMUSG00000036890"
"471","ENSMUSG00000026761"
"472","ENSMUSG00000026766"
"473","ENSMUSG00000036202"
"474","ENSMUSG00000085315"
"475","ENSMUSG00000055371"
"476","ENSMUSG00000061136"
"477","ENSMUSG00000026960"
"478","ENSMUSG00000036641"
"479","ENSMUSG00000026987"
"480","ENSMUSG00000026977"
"481","ENSMUSG00000064289"
"482","ENSMUSG00000026914"
"483","ENSMUSG00000026994"
"484","ENSMUSG00000034848"
"485","ENSMUSG00000027030"
"486","ENSMUSG00000053896"
"487","ENSMUSG00000079324"
"488","ENSMUSG00000005233"
"489","ENSMUSG00000063145"
"490","ENSMUSG00000042133"
"491","ENSMUSG00000070883"
"492","ENSMUSG00000027088"
"493","ENSMUSG00000068882"
"494","ENSMUSG00000051730"
"495","ENSMUSG00000075302"
"496","ENSMUSG00000014959"
"497","ENSMUSG00000041966"
"498","ENSMUSG00000027012"
"499","ENSMUSG00000027018"
"500","ENSMUSG00000041921"
"501","ENSMUSG00000027108"
"502","ENSMUSG00000041777"
"503","ENSMUSG00000027104"
"504","ENSMUSG00000018770"
"505","ENSMUSG00000009207"
"506","ENSMUSG00000052371"
"507","ENSMUSG00000027102"
"508","ENSMUSG00000027099"
"509","ENSMUSG00000081406"
"510","ENSMUSG00000059005"
"511","ENSMUSG00000075272"
"512","ENSMUSG00000075271"
"513","ENSMUSG00000056436"
"514","ENSMUSG00000002731"
"515","ENSMUSG00000002732"
"516","ENSMUSG00000002733"
"517","ENSMUSG00000042272"
"518","ENSMUSG00000027011"
"519","ENSMUSG00000034683"
"520","ENSMUSG00000059173"
"521","ENSMUSG00000050114"
"522","ENSMUSG00000027006"
"523","ENSMUSG00000027002"
"524","ENSMUSG00000027001"
"525","ENSMUSG00000026999"
"526","ENSMUSG00000075249"
"527","ENSMUSG00000027091"
"528","ENSMUSG00000034552"
"529","ENSMUSG00000076437"
"530","ENSMUSG00000050043"
"531","ENSMUSG00000027080"
"532","ENSMUSG00000027079"
"533","ENSMUSG00000027076"
"534","ENSMUSG00000027067"
"535","ENSMUSG00000008200"
"536","ENSMUSG00000040812"
"537","ENSMUSG00000027282"
"538","ENSMUSG00000040794"
"539","ENSMUSG00000005510"
"540","ENSMUSG00000063235"
"541","ENSMUSG00000005506"
"542","ENSMUSG00000002104"
"543","ENSMUSG00000002102"
"544","ENSMUSG00000027255"
"545","ENSMUSG00000040591"
"546","ENSMUSG00000040549"
"547","ENSMUSG00000027244"
"548","ENSMUSG00000027243"
"549","ENSMUSG00000058318"
"550","ENSMUSG00000027222"
"551","ENSMUSG00000085293"
"552","ENSMUSG00000027221"
"553","ENSMUSG00000068735"
"554","ENSMUSG00000087006"
"555","ENSMUSG00000040174"
"556","ENSMUSG00000045464"
"557","ENSMUSG00000027193"
"558","ENSMUSG00000027165"
"559","ENSMUSG00000027163"
"560","ENSMUSG00000027189"
"561","ENSMUSG00000010914"
"562","ENSMUSG00000010911"
"563","ENSMUSG00000027185"
"564","ENSMUSG00000027184"
"565","ENSMUSG00000046085"
"566","ENSMUSG00000027180"
"567","ENSMUSG00000032671"
"568","ENSMUSG00000027177"
"569","ENSMUSG00000086454"
"570","ENSMUSG00000027176"
"571","ENSMUSG00000045106"
"572","ENSMUSG00000027170"
"573","ENSMUSG00000027167"
"574","ENSMUSG00000042670"
"575","ENSMUSG00000027166"
"576","ENSMUSG00000027122"
"577","ENSMUSG00000027115"
"578","ENSMUSG00000027162"
"579","ENSMUSG00000027160"
"580","ENSMUSG00000079171"
"581","ENSMUSG00000027157"
"582","ENSMUSG00000027133"
"583","ENSMUSG00000027131"
"584","ENSMUSG00000055943"
"585","ENSMUSG00000003604"
"586","ENSMUSG00000040383"
"587","ENSMUSG00000027355"
"588","ENSMUSG00000027349"
"589","ENSMUSG00000027344"
"590","ENSMUSG00000009549"
"591","ENSMUSG00000040084"
"592","ENSMUSG00000027331"
"593","ENSMUSG00000027326"
"594","ENSMUSG00000027323"
"595","ENSMUSG00000034278"
"596","ENSMUSG00000068580"
"597","ENSMUSG00000034226"
"598","ENSMUSG00000085438"
"599","ENSMUSG00000027306"
"600","ENSMUSG00000027305"
"601","ENSMUSG00000027304"
"602","ENSMUSG00000033902"
"603","ENSMUSG00000027288"
"604","ENSMUSG00000027287"
"605","ENSMUSG00000027286"
"606","ENSMUSG00000033705"
"607","ENSMUSG00000027284"
"608","ENSMUSG00000090100"
"609","ENSMUSG00000087519"
"610","ENSMUSG00000027272"
"611","ENSMUSG00000027263"
"612","ENSMUSG00000033486"
"613","ENSMUSG00000027248"
"614","ENSMUSG00000074884"
"615","ENSMUSG00000027245"
"616","ENSMUSG00000048222"
"617","ENSMUSG00000081967"
"618","ENSMUSG00000068479"
"619","ENSMUSG00000060227"
"620","ENSMUSG00000033411"
"621","ENSMUSG00000027236"
"622","ENSMUSG00000033368"
"623","ENSMUSG00000027229"
"624","ENSMUSG00000027227"
"625","ENSMUSG00000033213"
"626","ENSMUSG00000085633"
"627","ENSMUSG00000005804"
"628","ENSMUSG00000035183"
"629","ENSMUSG00000027201"
"630","ENSMUSG00000027203"
"631","ENSMUSG00000027206"
"632","ENSMUSG00000027207"
"633","ENSMUSG00000027209"
"634","ENSMUSG00000023330"
"635","ENSMUSG00000027363"
"636","ENSMUSG00000001999"
"637","ENSMUSG00000003660"
"638","ENSMUSG00000003662"
"639","ENSMUSG00000027367"
"640","ENSMUSG00000046338"
"641","ENSMUSG00000027371"
"642","ENSMUSG00000027374"
"643","ENSMUSG00000087162"
"644","ENSMUSG00000027378"
"645","ENSMUSG00000027379"
"646","ENSMUSG00000027387"
"647","ENSMUSG00000074807"
"648","ENSMUSG00000042851"
"649","ENSMUSG00000037938"
"650","ENSMUSG00000048327"
"651","ENSMUSG00000085498"
"652","ENSMUSG00000037885"
"653","ENSMUSG00000027404"
"654","ENSMUSG00000027406"
"655","ENSMUSG00000037740"
"656","ENSMUSG00000068290"
"657","ENSMUSG00000074797"
"658","ENSMUSG00000027309"
"659","ENSMUSG00000027316"
"660","ENSMUSG00000027327"
"661","ENSMUSG00000027329"
"662","ENSMUSG00000037514"
"663","ENSMUSG00000027341"
"664","ENSMUSG00000027342"
"665","ENSMUSG00000087377"
"666","ENSMUSG00000086379"
"667","ENSMUSG00000027346"
"668","ENSMUSG00000027350"
"669","ENSMUSG00000027357"
"670","ENSMUSG00000034723"
"671","ENSMUSG00000074771"
"672","ENSMUSG00000027274"
"673","ENSMUSG00000027281"
"674","ENSMUSG00000039033"
"675","ENSMUSG00000045624"
"676","ENSMUSG00000068205"
"677","ENSMUSG00000008333"
"678","ENSMUSG00000027422"
