"","scale_factors"
"1",0.465597884970635
"2",0.655484844823846
"3",0.759688913345845
"4",1.03800064893923
"5",0.776619394513166
"6",1.19957395749446
"7",0.295658132331723
"8",1.87174714982184
"9",0.543122271396999
"10",1.06386146933942
"11",0.561152280170064
"12",0.51756031590623
"13",2.81146429949941
"14",0.276235895491152
"15",1.18162357141827
"16",0.814151322565656
"17",1.31836764745417
"18",1.05175500251806
"19",0.97517687160805
"20",0.334125904859385
"21",1.18824633430752
"22",2.07282939228943
"23",0.852290670968988
"24",0.270437168326058
"25",0.428354388091636
"26",0.554012702936685
"27",0.366882560178499
"28",0.504191781370543
"29",1.12046391379481
"30",0.326982716702686
"31",0.7373618208385
"32",1.41574711878271
"33",0.374253951687087
"34",1.2178913826926
"35",0.288255002251738
"36",2.10926009793185
"37",0.694314044565466
"38",2.17209143794142
"39",0.336716316615276
"40",1.65138399878305
"41",0.572969002616603
"42",0.413891543890817
"43",2.52132716656569
"44",2.5764134228722
"45",0.88690065662472
"46",0.581627073588017
"47",0.329809245450038
"48",1.65768232822456
"49",0.338261814728378
"50",0.514793446619207
"51",1.40354695969448
"52",0.261782288866871
"53",0.466812576360965
"54",1.10514840658142
"55",0.852763027622248
"56",3.00461200689063
"57",1.592828634645
"58",1.51504241316834
"59",0.385359580639284
"60",0.676099177788725
"61",1.36415685093906
"62",0.77351593264743
"63",1.15297385015845
"64",0.774258377720161
"65",1.73576466773814
"66",0.290037897656373
"67",0.477447741712306
"68",4.22580451919873
"69",1.06707843344632
"70",1.23347817606863
"71",0.404138259073453
"72",0.626400490095144
"73",1.32659061662417
"74",1.37356644763519
"75",1.4878138055333
"76",1.38871808451019
"77",1.73197814244562
"78",0.311816287619185
"79",1.67239687010246
"80",0.294089047664155
"81",0.667878663225817
"82",0.697253688305976
"83",0.832639568716332
"84",1.47761928182781
"85",1.28677580494279
"86",0.652800310583293
"87",0.497954130339227
"88",0.531885190224461
"89",0.673752915067238
"90",1.12151680232243
"91",0.508381681723238
"92",1.08052353830408
"93",0.393073689098965
"94",1.32892580552482
"95",0.30085755538767
"96",1.78373167282036
"97",2.41373944407313
"98",1.74097611276516
"99",1.17703346593176
"100",0.625725501747816
"101",1.08434131194477
"102",0.512571464424977
"103",0.480921105962142
"104",2.5541973650815
"105",0.27316973384483
"106",2.16657138056111
"107",0.582261297538537
"108",0.270280478819209
"109",1.724393369893
"110",0.474067478462859
"111",1.76798828600794
"112",1.49354703139902
"113",1.25550977752816
"114",1.56186368820038
"115",0.500921089915121
"116",0.502255961064585
"117",0.574617874226679
"118",1.09733096529087
"119",0.837516368108937
"120",1.79462685371482
"121",0.675836900463755
"122",2.12807312761486
"123",0.463683792523928
"124",0.340202756899353
"125",0.41868325492985
"126",0.771323962629694
"127",0.674735746439016
"128",2.47751005003327
"129",3.12308196936494
"130",1.23155632113824
"131",1.41102498340042
"132",1.16119980449287
"133",2.08438889286897
"134",1.5178866151477
"135",0.601401319111286
"136",1.50167833490066
"137",0.614229785099169
"138",1.91314887660155
"139",2.31679751973666
"140",2.24709327947787
"141",0.680343027667593
"142",0.292867273501761
"143",2.26112472898218
"144",0.410562235631542
"145",0.975376793982316
"146",0.679073241984503
"147",0.398842780556834
"148",0.501755429760985
"149",1.2975032516537
"150",0.666571986158931
"151",1.23410169260786
"152",2.41146641480814
"153",0.405003920618449
