"","pst_PC","pst_Monocle"
"8",0.0189030106725723,0.00456221264052368
"15",0.272666884091696,0.0401945607198088
"21",0.247966702454691,0.0257903327532761
"24",0.388466520923421,0.174725104652373
"31",0.321788151025354,0.0982651695723742
"33",0.862491800416984,0.549227179493862
"37",0,0
"40",0.644538526960927,0.386673743058171
"51",0.223259378495463,0.0236259817088879
"54",0.231920135149755,0.0243915033984291
"57",0.265794901494624,0.0361713220401594
"62",0.0943952160933555,0.0108455146317976
"66",0.846887519722615,0.548588552677223
"70",0.629270118436114,0.378406598967567
"72",0.530164052021385,0.274556188569207
"78",0.39246581154803,0.174931512770927
"83",0.592571679736496,0.33545646219586
"85",0.503454351238107,0.254444282563435
"108",0.372499880102147,0.15510652575256
"116",0.0383598900844588,0.00675323377730857
"133",0.858519998095637,0.548058008866833
"138",0.673237775803619,0.419359651999293
"144",0.339854514249873,0.120907777359967
"150",0.0991560241118836,0.0165020615311607
"153",0.271272426916436,0.0404416955738821
"161",0.41198115741515,0.209720912889843
"168",0.135610329775123,0.0151304917774964
"170",0.0330033254506418,0.00726199775249773
"181",0.851630418754593,0.548763193487553
"182",0.872056828310266,0.548230681762006
"186",0.285579990615628,0.0536524585209102
"197",0.576352828480255,0.317651592106248
"203",0.0799970220208685,0.00982436436852318
"211",0.850047550480181,0.547919207910273
"233",0.261364737628181,0.0361805883413982
"245",0.775275243048757,0.540981593756709
"250",0.318934599853935,0.0986798848593368
"255",0.71128929070459,0.46267896075553
"258",0.484536197282396,0.248644589978892
"264",0.612010856331683,0.352892336613794
"265",0.233405484668707,0.0246580185960379
"277",0,0.00159198314163896
"285",0.820736472264206,0.546245036086594
"293",0.799876376843221,0.543839657304695
"310",0.468947000155368,0.233075680877296
"311",0.872158418947266,0.548918532637113
"313",0.346500607592791,0.136088473123505
"316",0.622540422511796,0.361725527557776
"318",0.0894584904518265,0.0106662672183035
"328",0.178812979298469,0.0190640054177178
"329",0.530412206897112,0.27487723142432
"336",0.0568531065119811,0.00778572085550647
"349",0.863125574848984,0.547227386003214
"357",0.487486973813731,0.243776895922138
"361",0.34127168389069,0.121791918189374
"362",0.836386003000212,0.547520806530553
"366",0.620934416520631,0.361165538933257
"371",0.580964415208941,0.32227581832016
"372",0.0611453182324306,0.00848991878075607
"373",0.283291335926105,0.0577781688838111
"376",0.862333144316916,0.548768633871672
"385",0.176241863309771,0.0189275272004242
"394",0.488684297669062,0.248202029578616
"402",0.762460477884984,0.519219293735516
"403",0.645153311980256,0.386745996943988
"407",0.0910327010310531,0.0113054818531805
"414",0.227990282992548,0.024268894291109
"415",0.736182159016665,0.493266105342256
"416",0.397449296248367,0.17985394914633
"421",0.47590352851063,0.238182080328187
"428",0.111413999714528,0.0126185013058725
"445",0.224190803690972,0.0237270279351148
"455",0.849753815525469,0.548845437879219
"459",0.547190606983714,0.29404554214882
"461",0.554283035504953,0.29365485576689
"464",0.614223039402304,0.353093686190821
"476",0.679099402680074,0.427449543180513
"477",0.406322908549208,0.199797017194061
"504",0.604551916409015,0.34858660595688
"509",0.168223930822897,0.0188775524937808
"510",0.102379565561313,0.0118252343508906
"514",0.412543616526274,0.204628669686851
"530",0.407824119007352,0.194847823555168
"532",0.872158418947266,0.549586533331114
"539",0.631301932127133,0.373955628842068
"551",0.872158418947266,0.547920122022903
"553",0.0377945141975435,0.00601552673552775
"558",0.859862163266698,0.54813459012733
"583",0.313856235757674,0.0893279850554155
"597",0.472251013016439,0.237644830058799
"598",0.206145014054169,0.0217072527567004
